Region,State,is_union_territory,Month,Quarter,Energy Requirement MU,Energy Availability MU,Energy_Deficit
East,Bihar,0,May,Q2,3784,3724,60
East,Jharkhand,0,May,Q2,1304,1242,62
East,Odisha,0,May,Q2,3788,3788,0
East,West Bengal,0,May,Q2,6027,6014,13
Northeast,Sikkim,0,May,Q2,44,44,0
South,Andaman Nicobar,1,May,Q2,34,33,1
Northeast,Arunachal Pradesh,0,May,Q2,76,76,0
Northeast,Assam,0,May,Q2,1033,1030,3
Northeast,Manipur,0,May,Q2,73,73,0
Northeast,Meghalaya,0,May,Q2,195,156,39
Northeast,Mizoram,0,May,Q2,52,52,0
Northeast,Nagaland,0,May,Q2,74,74,0
Northeast,Tripura,0,May,Q2,163,163,0
North,Chandigarh,1,Jun,Q2,185.52,185.52,0
North,Delhi,1,Jun,Q2,3672.313963,3671.805,0.5089625
North,Haryana,0,Jun,Q2,6126.142018,6104.533018,21.609
North,Himachal Pradesh,0,Jun,Q2,1027.67,1025.3,2.37
North,UTs of J&K and Ladakh,1,Jun,Q2,1556.744,1531.094,25.65
North,Punjab,0,Jun,Q2,7018.662451,7018.662451,0
North,Rajasthan,0,Jun,Q2,8141.411,8138.193,3.218
North,Uttar Pradesh,0,Jun,Q2,15146.62005,15139.75159,6.868458705
North,Uttarakhand,0,Jun,Q2,1483.4478,1479.1378,4.31
Central,Chhattisgarh,0,Jun,Q2,3372.051534,3370.864284,1.18725
West,Gujarat,0,Jun,Q2,12392.22354,12392.22354,0
Central,Madhya Pradesh,0,Jun,Q2,7442.59197,7442.59197,0
West,Maharashtra,0,Jun,Q2,18028.5938,18005.0638,23.53
West,Dadra & Nagar Haveli and Daman & Diu,1,Jun,Q2,791.7707,791.7707,0
West,Goa,0,Jun,Q2,398.88684,398.88684,0
South,Andhra Pradesh,0,Jun,Q2,7118.646327,7118.646327,0
South,Telangana,0,Jun,Q2,6001.116975,6001.116975,0
South,Karnataka,0,Jun,Q2,7351.925685,7351.925685,0
South,Kerala,0,Jun,Q2,2443.357794,2443.357794,0
South,Tamil Nadu,0,Jun,Q2,10868.27907,10868.27907,0
South,Puducherry,1,Jun,Q2,310.7218473,310.7218473,0
South,Lakshadweep,1,Jun,Q2,5.2601,5.2601,0
East,Bihar,0,Jun,Q2,4172.539916,4087.439436,85.10047917
East,Jharkhand,0,Jun,Q2,1288.494078,1269.597953,18.896125
East,Odisha,0,Jun,Q2,3833.572182,3833.572182,0
East,West Bengal,0,Jun,Q2,6380.887144,6366.76187,14.12527416
Northeast,Sikkim,0,Jun,Q2,40.98104022,40.98104022,0
South,Andaman Nicobar,1,Jun,Q2,30.83,29.59,1.24
Northeast,Arunachal Pradesh,0,Jun,Q2,75.82232726,75.82232726,0
Northeast,Assam,0,Jun,Q2,1141.379326,1139.161074,2.218251678
Northeast,Manipur,0,Jun,Q2,70.81923218,70.81923218,0
Northeast,Meghalaya,0,Jun,Q2,179.9643456,145.658043,34.30630259
Northeast,Mizoram,0,Jun,Q2,51.2211284,51.2211284,0
Northeast,Nagaland,0,Jun,Q2,80.91824379,80.91824379,0
Northeast,Tripura,0,Jun,Q2,134.1430705,134.1430705,0
North,Chandigarh,1,Jul,Q3,189,189,0
North,Delhi,1,Jul,Q3,3942,3942,0
North,Haryana,0,Jul,Q3,6713,6708,5
North,Himachal Pradesh,0,Jul,Q3,1078,1075,3
North,UTs of J&K and Ladakh,1,Jul,Q3,1539,1523,16
North,Punjab,0,Jul,Q3,8242,8242,0
North,Rajasthan,0,Jul,Q3,8367,8343,24
North,Uttar Pradesh,0,Jul,Q3,15330,15307,23
North,Uttarakhand,0,Jul,Q3,1357,1342,15
Central,Chhattisgarh,0,Jul,Q3,3360,3355,5
West,Gujarat,0,Jul,Q3,11889,11889,0
Central,Madhya Pradesh,0,Jul,Q3,10980,10980,0
West,Maharashtra,0,Jul,Q3,16399,16395,4
West,Dadra & Nagar Haveli and Daman & Diu,1,Jul,Q3,792,792,0
